,Country,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Growth Rate,World Population Percentage
0,AFGHANISTAN,41128771,38972230,33753499,28189672,19542982,10694796,12486631,10752971,1.0257,0.52
2,ALGERIA,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,1.0164,0.56
5,ANGOLA,35588987,33428485,28127721,23364185,16394062,11828638,8330047,6029700,1.0315,0.45
8,ARGENTINA,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,1.0052,0.57
11,AUSTRALIA,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,1.0099,0.33
16,BANGLADESH,171186372,167420951,157830000,148391139,129193327,107147651,83929765,67541860,1.0108,2.15
27,BRAZIL,215313498,213196304,205188205,196353492,175873720,150706446,122288383,96369875,1.0046,2.7
31,BURKINA FASO,22673762,21522626,18718019,16116845,11882888,9131361,6932967,5611666,1.0259,0.28
34,CAMEROON,27914536,26491087,23012646,19878036,15091594,11430520,8519891,6452787,1.0263,0.35
35,CANADA,38454327,37888705,35732126,33963412,30683313,27657204,24511510,21434577,1.0078,0.48
41,CHINA,1425887337,1424929781,1393715448,1348191368,1264099069,1153704252,982372466,822534450,1,17.88
42,COLOMBIA,51874024,50930662,47119728,44816108,39215135,32601393,26176195,20905254,1.0069,0.65
55,DR CONGO,99010212,92853164,78656904,66391257,48616317,35987541,26708686,20151733,1.0325,1.24
57,EGYPT,110990103,107465134,97723799,87252413,71371371,57214630,43748556,34781986,1.0158,1.39
63,ETHIOPIA,123379924,117190911,102471895,89237791,67031867,47878073,34945469,28308246,1.0257,1.55
68,FRANCE,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,1.0015,0.81
74,GERMANY,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,0.9995,1.05
75,GHANA,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,1.0196,0.42
92,INDIA,1417173173,1396387127,1322866505,1240613620,1059633675,870452165,696828385,557501301,1.0068,17.77
93,INDONESIA,275501339,271857970,259091970,244016173,214072421,182159874,148177096,115228394,1.0064,3.45
94,IRAN,88550570,87290193,81790841,75373855,65544383,55793629,38520664,28449705,1.0071,1.11
95,IRAQ,44496122,42556984,37757813,31264875,24628858,17658381,13653369,9811347,1.0221,0.56
99,ITALY,59037474,59500579,60232906,59822450,56966397,56756561,56329482,53324036,0.9966,0.74
100,IVORY COAST,28160542,26811790,23596741,21120042,16799670,11910540,8303809,5477086,1.0248,0.35
102,JAPAN,123951692,125244761,127250933,128105431,126803861,123686321,117624196,105416839,0.9947,1.55
106,KENYA,54027487,51985780,46851488,41517895,30851606,23162269,16187124,11473087,1.0193,0.68
120,MADAGASCAR,29611714,28225177,24850912,21731053,16216431,11882762,8948162,6639751,1.0241,0.37
121,MALAWI,20405317,19377061,16938942,14718422,11229387,9539665,6267369,4625141,1.0259,0.26
122,MALAYSIA,33938221,33199993,31068833,28717731,22945150,17517054,13215707,10306508,1.0109,0.43
124,MALI,22593590,21224040,18112907,15529181,11239101,8945026,7372581,6153587,1.0314,0.28
131,MEXICO,127504125,125998302,120149897,112532401,97873442,81720428,67705186,50289306,1.0063,1.6
138,MOROCCO,37457971,36688772,34680458,32464865,28554415,24570814,19678444,15274351,1.0103,0.47
139,MOZAMBIQUE,32969517,31178239,26843246,23073723,17768505,13303459,11413587,8411676,1.0278,0.41
140,MYANMAR,54179306,53423198,51483949,49390988,45538332,40099553,33465781,27284112,1.0071,0.68
143,NEPAL,30547580,29348627,27610325,27161567,24559500,19616530,15600442,12501285,1.0171,0.38
148,NIGER,26207977,24333639,20128124,16647543,11622665,8370647,6173177,4669708,1.0378,0.33
149,NIGERIA,218541212,208327405,183995785,160952853,122851984,95214257,72951439,55569264,1.0241,2.74
151,NORTH KOREA,26069416,25867467,25258015,24686435,23367059,20799523,17973650,14996879,1.0038,0.33
156,PAKISTAN,235824862,227196741,210969298,194454498,154369924,115414069,80624057,59290872,1.0191,2.96
162,PERU,34049588,33304756,30711863,29229572,26654439,22109099,17492406,13562371,1.0099,0.43
163,PHILIPPINES,115559009,112190977,103031365,94636700,77958223,61558898,48419546,37435586,1.0147,1.45
164,POLAND,39857145,38428366,38553146,38597353,38504431,38064255,35521429,32482943,1.0404,0.5
171,RUSSIA,144713314,145617329,144668389,143242599,146844839,148005704,138257420,130093010,0.9973,1.81
182,SAUDI ARABIA,36408820,35997107,32749848,29411929,21547390,16004763,10171710,6106191,1.0128,0.46
193,SOUTH AFRICA,59893885,58801927,55876504,51784921,46813266,39877570,29463549,22368306,1.0084,0.75
194,SOUTH KOREA,51815810,51844690,50994401,48813042,46788591,44120039,38170501,32601143,0.9997,0.65
196,SPAIN,47558630,47363807,46431342,46572772,40741651,38889889,37491666,33792617,1.0015,0.6
197,SRI LANKA,21832143,21715079,21336697,20668557,18776371,17204094,14943645,12388769,1.0027,0.27
198,SUDAN,46874204,44440486,38171178,33739933,26298773,21090886,16673586,11305206,1.0267,0.59
202,SYRIA,22125249,20772595,19205178,22337563,16307654,12408996,8898954,6319199,1.0376,0.28
203,TAIWAN,23893394,23821464,23512136,23083083,22194731,20586174,18100281,14957870,1.0014,0.3
205,TANZANIA,65497748,61704518,52542823,45110527,34463704,26206012,19297659,13618192,1.03,0.82
206,THAILAND,71697030,71475664,70294397,68270489,63066603,55228410,45737753,35791728,1.0013,0.9
213,TURKEY,85341241,84135428,79646178,73195345,64113547,54324142,44089069,35540990,1.0067,1.07
217,UGANDA,47249585,44404611,37477356,32341728,24020697,17586630,13284026,10317212,1.0304,0.59
218,UKRAINE,39701739,43909666,44982564,45683020,48879755,51589817,49973920,47279086,0.912,0.5
220,UNITED KINGDOM,67508936,67059474,65224364,62760039,58850043,57210442,56326328,55650166,1.0034,0.85
221,USA,338289857,335942003,324607776,311182845,282398554,248083732,223140018,200328340,1.0038,4.24
224,UZBEKISTAN,34627652,33526656,30949417,28614227,24925554,20579100,15947129,12011361,1.016,0.43
227,VENEZUELA,28301696,28490453,30529716,28715022,24427729,19750579,15210443,11355475,1.0036,0.35
228,VIETNAM,98186856,96648685,92191398,87411012,79001142,66912613,52968270,41928849,1.0074,1.23
231,YEMEN,33696614,32284046,28516545,24743946,18628700,13375121,9204938,6843607,1.0217,0.42
232,ZAMBIA,20017675,18927715,16248230,13792086,9891136,7686401,5720438,4281671,1.028,0.25